metric,mean,std,mode,alpha,delay_intensity,target_fraction,runs,run_mode,training_mean_reward,training_reward_history
REV,0.017833333333333333,0.010888038515547663,A,0.05,500,0.0,10,A,,
attacker_blocks,10.7,6.532823109328598,A,0.05,500,0.0,10,A,,
total_blocks,600.0,0.0,A,0.05,500,0.0,10,A,,
fork_rate,0.0,0.0,A,0.05,500,0.0,10,A,,
orphan_blocks,474.8,10.706176825656405,A,0.05,500,0.0,10,A,,
delay_usage_freq,0.0,0.0,A,0.05,500,0.0,10,A,,
delay_cost,0.0,0.0,A,0.05,500,0.0,10,A,,
mean_reward,0.0,0.0,A,0.05,500,0.0,10,A,,
epsilon,0.0,0.0,A,0.05,500,0.0,10,A,,
REV,0.033,0.026664351751373733,B,0.05,500,0.0,10,B,,
attacker_blocks,19.8,15.998611050824241,B,0.05,500,0.0,10,B,,
total_blocks,600.0,0.0,B,0.05,500,0.0,10,B,,
fork_rate,0.0,0.0,B,0.05,500,0.0,10,B,,
orphan_blocks,564.6,4.718756898449704,B,0.05,500,0.0,10,B,,
delay_usage_freq,0.0,0.0,B,0.05,500,0.0,10,B,,
delay_cost,264385.74706268386,49900.92429417638,B,0.05,500,0.0,10,B,,
mean_reward,0.0,0.0,B,0.05,500,0.0,10,B,,
epsilon,0.0,0.0,B,0.05,500,0.0,10,B,,
REV,0.004333333333333333,0.007665861471404596,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
attacker_blocks,2.6,4.5995168828427575,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
total_blocks,600.0,0.0,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
fork_rate,0.0,0.0,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
orphan_blocks,567.8,3.32665998663324,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
delay_usage_freq,0.6048333333333333,0.31064493843901236,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
delay_cost,280215.14796431584,63756.21669105358,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
mean_reward,-0.5200947125331239,0.024664852943201827,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
epsilon,0.05,0.0,C,0.05,500,0.0,10,C,-0.675361592480572,"[-0.8691425908783549, -0.772373424075975, -0.6995060888866584, -0.6669938285654768, -0.6317462330088057, -0.6052151656090282, -0.5893544455278367, -0.5685609632924405]"
REV,0.011833333333333333,0.011978633240941458,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
attacker_blocks,7.1,7.187179944564875,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
total_blocks,600.0,0.0,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
fork_rate,0.0,0.0,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
orphan_blocks,567.8,2.573367875415838,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
delay_usage_freq,0.11816666666666667,0.05848630735606539,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
delay_cost,338911.1681782607,98570.6078315257,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
mean_reward,-0.6906412465976424,0.03796666282435335,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
epsilon,0.05,0.0,no_targeting,0.05,500,0.0,10,no_targeting,-0.9726645312744249,"[-1.2218951444247412, -1.1621654735072475, -1.0444066749734615, -0.9956957681734582, -0.9220318159325557, -0.852978040866065, -0.8080647371131366, -0.7740785952047329]"
REV,0.023833333333333335,0.02316140361212918,no_rl,0.05,500,0.0,10,no_rl,,
attacker_blocks,14.3,13.896842167277507,no_rl,0.05,500,0.0,10,no_rl,,
total_blocks,600.0,0.0,no_rl,0.05,500,0.0,10,no_rl,,
fork_rate,0.0,0.0,no_rl,0.05,500,0.0,10,no_rl,,
orphan_blocks,566.0,3.366501646120693,no_rl,0.05,500,0.0,10,no_rl,,
delay_usage_freq,0.0,0.0,no_rl,0.05,500,0.0,10,no_rl,,
delay_cost,244353.14126027073,34625.704213423924,no_rl,0.05,500,0.0,10,no_rl,,
