metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
total_blocks,600.0,0.0,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
fork_rate,0.0,0.0,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
orphan_blocks,525.2,6.534523701081817,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
delay_usage_freq,0.6736666666666666,0.016890168080210956,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
delay_cost,552409.6413943174,13354.249616758378,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
mean_reward,-0.7793110455290722,0.0037829160773166144,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
epsilon,0.05,0.0,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
REV,0.197,0.031233884733659945,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
attacker_blocks,118.2,18.740330840195966,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
total_blocks,600.0,0.0,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
fork_rate,0.0,0.0,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
orphan_blocks,471.8,9.338094023943002,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
delay_usage_freq,0.0,0.0,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
delay_cost,0.0,0.0,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
mean_reward,0.0,0.0,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
epsilon,0.0,0.0,A,0.2,1000,0.0,100,True,0.2,0.5,5,A,,
REV,0.08166666666666667,0.0097182531580755,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
attacker_blocks,49.0,5.830951894845301,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
total_blocks,600.0,0.0,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
fork_rate,0.0,0.0,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
orphan_blocks,550.0,5.830951894845301,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
delay_usage_freq,0.6606666666666666,0.10667057284514371,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
delay_cost,927521.5835500925,54453.77171141172,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
mean_reward,-1.6890649385801795,0.0397300688147757,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
epsilon,0.05,0.0,C,0.2,1000,0.0,100,True,0.2,0.5,5,C,-2.0694542774213796,"[-2.49508774339471, -2.2783329792233507, -2.222732794329986, -2.0745612144052448, -1.9568536831630112, -1.8932576833565713, -1.8299654789805013, -1.80484264251766]"
REV,0.49366666666666664,0.019804601036683946,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
attacker_blocks,296.2,11.882760622010357,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
total_blocks,600.0,0.0,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
fork_rate,0.0,0.0,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
orphan_blocks,302.6,11.588787684654507,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
delay_usage_freq,0.0,0.0,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
delay_cost,0.0,0.0,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
mean_reward,0.0,0.0,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
epsilon,0.0,0.0,A,0.5,0,0.0,100,True,0.2,0.5,5,A,,
REV,0.26666666666666666,0.02201640802270484,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
attacker_blocks,160.0,13.209844813622906,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
total_blocks,600.0,0.0,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
fork_rate,0.0,0.0,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
orphan_blocks,439.0,13.209844813622906,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
delay_usage_freq,0.701,0.04664582868095853,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
